               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092438,            0.057459,            0.018102,             0.47224,             0.35117,             0.34441,             0.13154,            0.069706,            0.038546,           0.0073421,            0.070012,            0.003332,            0.003332
                   1,            0.064616,            0.051261,            0.005955,             0.75968,             0.59071,             0.67098,             0.34578,            0.051649,            0.033803,           0.0037598,            0.039946,           0.0065993,           0.0065993
                   2,            0.054309,            0.047017,           0.0041348,             0.81111,             0.67656,              0.7605,              0.4393,            0.044821,            0.031075,           0.0028572,           0.0098143,           0.0098007,           0.0098007
                   3,            0.048769,            0.044433,           0.0033667,             0.84598,             0.71824,             0.80612,             0.49774,            0.040573,            0.028574,           0.0023121,            0.009703,            0.009703,            0.009703
                   4,            0.045385,            0.042361,           0.0030102,             0.85966,             0.73621,             0.82645,             0.52497,            0.038531,            0.027427,           0.0021375,            0.009703,            0.009703,            0.009703
                   5,            0.043609,            0.041275,           0.0027823,             0.86032,             0.75414,             0.83933,             0.54156,            0.037361,            0.026613,           0.0020329,            0.009604,            0.009604,            0.009604
                   6,            0.042453,            0.040491,           0.0026608,             0.85583,             0.76739,             0.84656,             0.55476,            0.036333,            0.026098,           0.0019524,            0.009505,            0.009505,            0.009505
                   7,            0.041581,            0.039904,            0.002581,             0.85524,             0.77881,             0.85443,             0.56285,             0.03566,            0.025687,           0.0019209,            0.009406,            0.009406,            0.009406
                   8,            0.040902,            0.039367,           0.0025073,             0.86845,             0.77474,             0.85847,             0.57197,            0.034987,            0.025234,           0.0018509,            0.009307,            0.009307,            0.009307
                   9,            0.040405,            0.039135,            0.002469,              0.8683,             0.78502,             0.86337,             0.57695,             0.03444,            0.024965,           0.0018112,            0.009208,            0.009208,            0.009208
                  10,            0.039968,            0.038979,           0.0024142,             0.86976,             0.78764,             0.86632,             0.58238,            0.034116,            0.024783,           0.0018091,            0.009109,            0.009109,            0.009109
                  11,            0.039423,            0.038386,           0.0023443,             0.86615,             0.79313,                0.87,             0.58676,             0.03372,            0.024571,           0.0017676,             0.00901,             0.00901,             0.00901
                  12,            0.039156,            0.038144,           0.0023515,             0.87379,             0.79082,             0.87205,             0.59065,             0.03347,            0.024373,           0.0017461,            0.008911,            0.008911,            0.008911
                  13,            0.038805,             0.03805,           0.0023321,             0.88366,             0.78771,              0.8734,             0.59253,            0.033203,            0.024267,           0.0017348,            0.008812,            0.008812,            0.008812
                  14,            0.038577,            0.037766,           0.0022796,             0.87923,             0.79359,             0.87569,             0.59514,            0.032968,            0.024204,            0.001727,            0.008713,            0.008713,            0.008713
                  15,            0.038278,            0.037494,           0.0022769,             0.87649,             0.79804,             0.87762,             0.59741,            0.032795,            0.024099,           0.0017113,            0.008614,            0.008614,            0.008614
                  16,            0.038153,            0.037461,           0.0022799,             0.88053,             0.79744,             0.87887,             0.59847,            0.032643,             0.02402,           0.0016925,            0.008515,            0.008515,            0.008515
                  17,            0.037849,            0.037165,           0.0022466,              0.8756,             0.80155,             0.87985,             0.60015,            0.032538,            0.023968,           0.0016824,            0.008416,            0.008416,            0.008416
                  18,            0.037702,            0.036944,           0.0022265,             0.87739,             0.80154,             0.88071,             0.60174,            0.032434,            0.023906,           0.0016784,            0.008317,            0.008317,            0.008317
                  19,            0.037516,            0.036899,           0.0022104,             0.87564,             0.80479,             0.88188,             0.60276,            0.032338,            0.023848,           0.0016708,            0.008218,            0.008218,            0.008218
                  20,            0.037406,            0.036896,           0.0022404,             0.87726,             0.80461,             0.88229,             0.60388,            0.032263,            0.023796,           0.0016668,            0.008119,            0.008119,            0.008119
                  21,            0.037228,            0.036802,           0.0021786,             0.87754,             0.80436,             0.88296,             0.60501,            0.032191,             0.02375,           0.0016626,             0.00802,             0.00802,             0.00802
                  22,            0.037061,            0.036683,           0.0021768,             0.87691,             0.80577,             0.88335,             0.60551,            0.032123,            0.023712,           0.0016583,            0.007921,            0.007921,            0.007921
                  23,            0.036883,            0.036372,           0.0021546,             0.87809,             0.80631,             0.88375,             0.60634,            0.032064,            0.023674,           0.0016544,            0.007822,            0.007822,            0.007822
                  24,            0.036785,            0.036385,           0.0021685,             0.87616,             0.80756,             0.88427,             0.60733,            0.032011,            0.023636,           0.0016505,            0.007723,            0.007723,            0.007723
                  25,            0.036659,            0.036354,           0.0021664,             0.87704,              0.8073,             0.88425,             0.60769,            0.031957,              0.0236,           0.0016472,            0.007624,            0.007624,            0.007624
                  26,            0.036452,            0.036198,           0.0021388,              0.8782,             0.80814,             0.88482,             0.60832,            0.031901,            0.023558,           0.0016436,            0.007525,            0.007525,            0.007525
                  27,            0.036409,             0.03601,           0.0021096,             0.87661,             0.80908,             0.88533,             0.60941,             0.03185,            0.023516,           0.0016396,            0.007426,            0.007426,            0.007426
                  28,            0.036312,            0.036049,           0.0021203,             0.87861,             0.80829,             0.88569,             0.61062,            0.031794,            0.023486,           0.0016349,            0.007327,            0.007327,            0.007327
                  29,            0.036211,            0.035987,           0.0021235,             0.87809,             0.80887,             0.88563,             0.61082,            0.031739,            0.023449,           0.0016311,            0.007228,            0.007228,            0.007228
                  30,            0.036038,            0.035835,            0.002105,             0.87591,             0.81134,               0.886,             0.61145,            0.031688,            0.023415,           0.0016285,            0.007129,            0.007129,            0.007129
                  31,            0.035947,            0.035846,           0.0020983,             0.87833,             0.81113,             0.88696,             0.61187,            0.031644,            0.023384,           0.0016254,             0.00703,             0.00703,             0.00703
                  32,            0.035901,            0.035588,           0.0020688,             0.88023,             0.81214,             0.88742,             0.61247,            0.031602,            0.023351,           0.0016243,            0.006931,            0.006931,            0.006931
                  33,             0.03578,            0.035704,           0.0020882,             0.88244,             0.81214,             0.88761,             0.61308,            0.031554,            0.023317,           0.0016227,            0.006832,            0.006832,            0.006832
                  34,            0.035722,            0.035347,           0.0020268,             0.88261,             0.81226,              0.8882,             0.61358,            0.031506,            0.023281,           0.0016177,            0.006733,            0.006733,            0.006733
                  35,            0.035534,            0.035426,           0.0020623,             0.88404,             0.81151,             0.88854,             0.61443,            0.031456,            0.023249,           0.0016143,            0.006634,            0.006634,            0.006634
                  36,            0.035458,            0.035495,           0.0020384,             0.88499,             0.81099,             0.88854,             0.61508,            0.031402,            0.023216,           0.0016107,            0.006535,            0.006535,            0.006535
                  37,            0.035472,            0.035312,           0.0020565,             0.88582,             0.81105,             0.88915,             0.61591,            0.031357,            0.023184,           0.0016084,            0.006436,            0.006436,            0.006436
                  38,            0.035284,            0.035341,           0.0020526,             0.88703,             0.81075,             0.88906,             0.61654,            0.031307,            0.023151,            0.001606,            0.006337,            0.006337,            0.006337
                  39,            0.035235,            0.035214,           0.0020398,             0.88564,             0.81203,              0.8896,             0.61699,            0.031255,            0.023116,           0.0016044,            0.006238,            0.006238,            0.006238
                  40,            0.035089,            0.034896,           0.0019849,             0.88585,             0.81231,             0.89015,             0.61781,            0.031207,            0.023076,           0.0016001,            0.006139,            0.006139,            0.006139
                  41,            0.035018,               0.035,           0.0020121,             0.88666,             0.81311,             0.89074,             0.61853,            0.031156,            0.023038,           0.0015967,             0.00604,             0.00604,             0.00604
                  42,            0.034933,            0.034844,           0.0019997,             0.88564,             0.81574,             0.89127,             0.61885,            0.031106,            0.023003,           0.0015911,            0.005941,            0.005941,            0.005941
                  43,            0.034856,            0.034995,           0.0019818,             0.88624,             0.81536,             0.89137,             0.61951,            0.031056,            0.022969,           0.0015859,            0.005842,            0.005842,            0.005842
                  44,            0.034799,            0.034798,           0.0019723,             0.88828,             0.81552,             0.89224,             0.62013,            0.031004,            0.022937,           0.0015805,            0.005743,            0.005743,            0.005743
                  45,            0.034708,            0.034797,           0.0019712,             0.89038,             0.81554,             0.89268,             0.62092,            0.030952,            0.022905,           0.0015758,            0.005644,            0.005644,            0.005644
                  46,            0.034671,            0.034877,           0.0019698,             0.89023,             0.81547,             0.89292,              0.6216,            0.030897,            0.022876,           0.0015717,            0.005545,            0.005545,            0.005545
                  47,            0.034505,             0.03457,           0.0019658,             0.89054,             0.81586,             0.89288,             0.62212,            0.030846,            0.022845,           0.0015674,            0.005446,            0.005446,            0.005446
                  48,            0.034497,            0.034412,           0.0019797,                0.89,             0.81634,             0.89301,             0.62273,            0.030797,            0.022818,           0.0015647,            0.005347,            0.005347,            0.005347
                  49,            0.034366,            0.034411,           0.0019311,             0.89198,             0.81536,             0.89341,             0.62401,            0.030749,            0.022788,           0.0015619,            0.005248,            0.005248,            0.005248
                  50,            0.034289,            0.034408,           0.0019379,             0.89035,             0.81574,             0.89343,             0.62474,            0.030705,            0.022758,           0.0015584,            0.005149,            0.005149,            0.005149
                  51,            0.034275,            0.034309,           0.0019494,             0.89148,              0.8156,             0.89399,              0.6255,            0.030665,            0.022731,           0.0015554,             0.00505,             0.00505,             0.00505
                  52,            0.034172,            0.034222,           0.0019116,             0.89183,             0.81515,             0.89454,             0.62571,             0.03062,            0.022699,           0.0015518,            0.004951,            0.004951,            0.004951
                  53,             0.03406,            0.034292,           0.0019104,             0.89086,             0.81628,              0.8949,               0.626,            0.030571,            0.022666,           0.0015478,            0.004852,            0.004852,            0.004852
                  54,            0.034007,            0.034201,           0.0019216,             0.89105,             0.81635,             0.89526,             0.62681,             0.03052,            0.022637,           0.0015433,            0.004753,            0.004753,            0.004753
                  55,            0.033855,            0.033944,           0.0019073,             0.89291,             0.81505,              0.8953,             0.62739,            0.030477,            0.022611,           0.0015385,            0.004654,            0.004654,            0.004654
                  56,            0.033861,            0.034067,           0.0019003,             0.89322,             0.81387,             0.89522,             0.62716,            0.030433,            0.022579,            0.001535,            0.004555,            0.004555,            0.004555
                  57,            0.033788,             0.03386,           0.0018965,             0.89402,             0.81414,             0.89578,             0.62772,            0.030389,            0.022552,           0.0015339,            0.004456,            0.004456,            0.004456
                  58,             0.03365,            0.033827,           0.0018654,             0.89309,             0.81533,             0.89599,             0.62872,            0.030349,            0.022527,           0.0015317,            0.004357,            0.004357,            0.004357
                  59,            0.033737,            0.033699,            0.001875,             0.89596,             0.81369,             0.89597,             0.62919,            0.030308,            0.022501,           0.0015291,            0.004258,            0.004258,            0.004258
                  60,            0.033555,            0.033791,           0.0018775,             0.89206,             0.81647,             0.89669,             0.63001,            0.030271,            0.022474,           0.0015265,            0.004159,            0.004159,            0.004159
                  61,            0.033408,            0.033623,            0.001883,             0.89254,             0.81641,             0.89687,             0.63065,            0.030237,            0.022447,           0.0015251,             0.00406,             0.00406,             0.00406
                  62,             0.03339,            0.033326,           0.0018542,             0.89376,             0.81695,             0.89703,             0.63088,            0.030202,            0.022423,           0.0015242,            0.003961,            0.003961,            0.003961
                  63,            0.033401,            0.033564,           0.0018531,             0.89414,             0.81687,              0.8977,             0.63156,            0.030162,            0.022395,           0.0015215,            0.003862,            0.003862,            0.003862
                  64,            0.033157,            0.033375,           0.0018577,             0.89408,               0.817,             0.89816,             0.63245,            0.030128,            0.022366,           0.0015193,            0.003763,            0.003763,            0.003763
                  65,            0.033156,            0.033274,           0.0018445,             0.89428,             0.81887,             0.89856,             0.63272,            0.030095,            0.022339,           0.0015188,            0.003664,            0.003664,            0.003664
                  66,            0.033045,            0.033285,           0.0018382,             0.89377,             0.81887,             0.89885,             0.63346,            0.030061,            0.022316,           0.0015167,            0.003565,            0.003565,            0.003565
                  67,            0.033006,            0.033146,           0.0018551,               0.894,             0.81912,             0.89893,             0.63373,            0.030032,            0.022297,            0.001515,            0.003466,            0.003466,            0.003466
                  68,            0.032903,            0.033109,           0.0018338,             0.89384,             0.81995,             0.89939,             0.63418,            0.029999,            0.022279,           0.0015128,            0.003367,            0.003367,            0.003367
                  69,            0.032865,            0.033062,           0.0018038,             0.89286,             0.82061,             0.89945,              0.6346,            0.029972,            0.022261,           0.0015103,            0.003268,            0.003268,            0.003268
                  70,            0.032838,            0.033059,           0.0018225,             0.89118,             0.82138,              0.8997,              0.6353,            0.029949,            0.022243,           0.0015089,            0.003169,            0.003169,            0.003169
                  71,            0.032678,            0.032744,           0.0017995,             0.89209,             0.81943,             0.89974,             0.63523,            0.029927,            0.022222,            0.001507,             0.00307,             0.00307,             0.00307
                  72,            0.032534,            0.032784,           0.0017861,             0.89255,              0.8203,             0.90012,             0.63589,            0.029905,            0.022201,           0.0015043,            0.002971,            0.002971,            0.002971
                  73,            0.032466,            0.032672,           0.0017818,             0.88932,              0.8232,             0.90073,             0.63636,            0.029885,            0.022186,           0.0015034,            0.002872,            0.002872,            0.002872
                  74,             0.03241,            0.032563,           0.0017992,             0.89027,             0.82345,             0.90084,             0.63647,            0.029862,            0.022168,           0.0015009,            0.002773,            0.002773,            0.002773
                  75,            0.032312,            0.032537,           0.0017732,             0.89128,             0.82339,             0.90105,             0.63662,            0.029839,            0.022152,           0.0014991,            0.002674,            0.002674,            0.002674
                  76,            0.032146,            0.032344,           0.0017509,             0.89275,             0.82298,             0.90139,             0.63659,            0.029822,            0.022139,            0.001496,            0.002575,            0.002575,            0.002575
                  77,            0.032167,            0.032289,           0.0017626,             0.89199,             0.82375,             0.90176,             0.63709,            0.029802,            0.022123,            0.001493,            0.002476,            0.002476,            0.002476
                  78,            0.031961,            0.032184,            0.001736,             0.89203,             0.82433,             0.90195,             0.63754,            0.029782,            0.022106,           0.0014915,            0.002377,            0.002377,            0.002377
                  79,            0.031965,            0.032224,           0.0017417,             0.89267,              0.8242,             0.90253,             0.63826,            0.029761,             0.02209,            0.001491,            0.002278,            0.002278,            0.002278
                  80,            0.031846,            0.031978,           0.0017339,              0.8905,             0.82587,             0.90289,             0.63843,            0.029742,            0.022075,            0.001492,            0.002179,            0.002179,            0.002179
                  81,            0.031735,               0.032,           0.0017305,             0.89136,              0.8246,             0.90324,             0.63866,            0.029721,            0.022059,           0.0014912,             0.00208,             0.00208,             0.00208
                  82,            0.031592,            0.031891,           0.0016979,             0.89021,              0.8257,             0.90328,             0.63936,            0.029701,             0.02205,           0.0014903,            0.001981,            0.001981,            0.001981
                  83,            0.031469,            0.031565,           0.0016917,             0.88919,             0.82639,             0.90316,              0.6395,            0.029679,            0.022044,           0.0014885,            0.001882,            0.001882,            0.001882
                  84,            0.031402,            0.031473,           0.0016866,             0.88895,             0.82595,             0.90301,             0.63996,            0.029661,             0.02204,            0.001487,            0.001783,            0.001783,            0.001783
                  85,            0.031295,            0.031406,           0.0016842,             0.88782,             0.82722,             0.90295,             0.64047,            0.029642,            0.022038,           0.0014863,            0.001684,            0.001684,            0.001684
                  86,            0.031123,            0.031502,           0.0016538,             0.88863,             0.82704,              0.9034,             0.64082,            0.029623,            0.022032,           0.0014863,            0.001585,            0.001585,            0.001585
                  87,            0.031026,            0.031045,           0.0016457,             0.88866,               0.827,             0.90372,             0.64112,            0.029603,            0.022025,           0.0014844,            0.001486,            0.001486,            0.001486
                  88,            0.030871,            0.031039,           0.0016473,             0.88783,             0.82927,             0.90419,             0.64127,            0.029586,            0.022017,           0.0014845,            0.001387,            0.001387,            0.001387
                  89,            0.030822,            0.030852,           0.0016487,             0.88839,             0.83015,             0.90437,              0.6415,            0.029569,             0.02201,           0.0014862,            0.001288,            0.001288,            0.001288
