               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088123,            0.066031,            0.017276,              0.4851,             0.36446,             0.37064,             0.14678,            0.064071,            0.046342,           0.0061441,            0.070009,           0.0033323,           0.0033323
                   1,            0.061826,            0.058238,           0.0054017,             0.71711,             0.58789,             0.66037,             0.34425,            0.049442,             0.03927,           0.0033218,            0.039943,           0.0065997,           0.0065997
                   2,            0.053219,             0.05411,           0.0038343,             0.76126,             0.66353,             0.74405,              0.4238,            0.044074,            0.036471,           0.0027066,           0.0098112,            0.009801,            0.009801
                   3,            0.048299,            0.051839,           0.0031265,             0.78953,             0.70185,             0.78541,             0.46967,            0.040732,            0.034497,           0.0022467,            0.009703,            0.009703,            0.009703
                   4,            0.045236,            0.049702,            0.002788,             0.80881,             0.72612,             0.80875,             0.49585,            0.038914,            0.033386,           0.0020899,            0.009703,            0.009703,            0.009703
                   5,            0.043578,            0.048768,           0.0025831,             0.81304,             0.74443,             0.81976,             0.51137,            0.037841,            0.032616,           0.0019363,            0.009604,            0.009604,            0.009604
                   6,            0.042529,            0.047729,           0.0024442,             0.81933,             0.75213,             0.83133,             0.52313,            0.036982,            0.032081,           0.0018835,            0.009505,            0.009505,            0.009505
                   7,            0.041707,            0.047129,           0.0023642,             0.83128,             0.75565,              0.8386,             0.53471,            0.036289,            0.031541,           0.0018406,            0.009406,            0.009406,            0.009406
                   8,            0.041135,            0.046548,           0.0023068,             0.81816,             0.76758,             0.84395,             0.54167,            0.035898,            0.031192,            0.001794,            0.009307,            0.009307,            0.009307
                   9,             0.04062,            0.046187,            0.002269,             0.83379,             0.76673,              0.8474,             0.54568,            0.035437,            0.030977,           0.0017744,            0.009208,            0.009208,            0.009208
                  10,            0.040201,            0.046215,           0.0022155,              0.8434,             0.76813,             0.85265,             0.55195,             0.03519,            0.030645,           0.0017444,            0.009109,            0.009109,            0.009109
                  11,            0.039756,            0.045458,           0.0021383,              0.8367,              0.7726,             0.85408,             0.55464,            0.034925,            0.030485,           0.0017327,             0.00901,             0.00901,             0.00901
                  12,            0.039533,            0.045193,           0.0021491,             0.83867,             0.77863,             0.85585,             0.55986,            0.034671,            0.030342,           0.0017098,            0.008911,            0.008911,            0.008911
                  13,            0.039225,            0.045075,           0.0020906,             0.84597,             0.77651,             0.85806,             0.56234,            0.034483,            0.030223,           0.0016958,            0.008812,            0.008812,            0.008812
                  14,            0.038967,            0.044828,           0.0020682,             0.85301,             0.77358,             0.86112,             0.56475,            0.034316,            0.030102,           0.0016757,            0.008713,            0.008713,            0.008713
                  15,            0.038756,            0.044485,           0.0020728,              0.8487,             0.77785,              0.8621,             0.56695,            0.034177,            0.030004,           0.0016718,            0.008614,            0.008614,            0.008614
                  16,            0.038555,            0.044467,           0.0020741,             0.85031,             0.77872,             0.86285,             0.56849,            0.034062,            0.029917,           0.0016637,            0.008515,            0.008515,            0.008515
                  17,            0.038388,            0.044192,            0.002038,             0.84996,             0.78087,             0.86449,             0.57015,            0.033965,             0.02984,           0.0016532,            0.008416,            0.008416,            0.008416
                  18,            0.038205,            0.043908,           0.0020014,              0.8501,             0.78237,             0.86524,             0.57149,            0.033888,            0.029771,           0.0016479,            0.008317,            0.008317,            0.008317
                  19,            0.038085,            0.043939,           0.0020004,              0.8503,             0.78412,             0.86628,             0.57296,            0.033823,            0.029708,           0.0016419,            0.008218,            0.008218,            0.008218
                  20,            0.037932,            0.043928,            0.002018,             0.85201,              0.7845,             0.86679,              0.5737,            0.033765,            0.029647,           0.0016366,            0.008119,            0.008119,            0.008119
                  21,            0.037766,             0.04391,           0.0019818,             0.85328,              0.7854,             0.86753,             0.57539,              0.0337,             0.02959,           0.0016292,             0.00802,             0.00802,             0.00802
                  22,            0.037673,            0.043637,           0.0019813,             0.85355,             0.78586,             0.86776,             0.57634,            0.033637,             0.02954,           0.0016223,            0.007921,            0.007921,            0.007921
                  23,             0.03748,            0.043338,           0.0019599,              0.8539,             0.78626,             0.86849,             0.57747,            0.033577,            0.029489,           0.0016147,            0.007822,            0.007822,            0.007822
                  24,             0.03737,            0.043402,           0.0019605,              0.8558,             0.78647,             0.86874,             0.57826,            0.033518,            0.029438,           0.0016077,            0.007723,            0.007723,            0.007723
                  25,             0.03729,              0.0433,           0.0019662,             0.85857,             0.78571,             0.86966,             0.57921,            0.033464,            0.029387,           0.0016014,            0.007624,            0.007624,            0.007624
                  26,            0.037068,             0.04311,            0.001932,             0.85829,             0.78663,             0.86988,             0.58003,            0.033409,            0.029342,           0.0015965,            0.007525,            0.007525,            0.007525
                  27,             0.03702,            0.042977,           0.0019023,             0.85792,              0.7886,             0.87096,             0.58069,            0.033357,            0.029293,            0.001591,            0.007426,            0.007426,            0.007426
                  28,            0.036947,            0.042989,            0.001908,             0.85915,             0.78842,             0.87116,             0.58178,            0.033313,            0.029243,           0.0015871,            0.007327,            0.007327,            0.007327
                  29,            0.036845,            0.043016,           0.0019084,             0.85842,             0.79017,             0.87179,             0.58254,            0.033266,            0.029196,            0.001581,            0.007228,            0.007228,            0.007228
