               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092236,            0.062209,            0.017788,             0.40667,             0.33131,             0.30059,              0.1066,            0.070095,            0.038686,           0.0074987,            0.070023,           0.0033308,           0.0033308
                   1,            0.067823,            0.057162,           0.0071411,             0.68582,             0.52256,             0.58684,             0.27262,            0.056313,             0.03549,           0.0043284,            0.039957,           0.0065981,           0.0065981
                   2,            0.058994,            0.053888,           0.0052645,             0.75559,              0.6246,             0.69698,             0.36345,             0.04941,            0.032516,           0.0033275,            0.009825,           0.0097995,           0.0097995
                   3,            0.053685,            0.051468,           0.0044375,             0.81068,             0.67507,             0.75946,             0.43702,            0.044529,            0.030311,           0.0027247,            0.009703,            0.009703,            0.009703
                   4,             0.05085,            0.049649,           0.0040065,             0.83848,             0.70185,             0.78947,             0.47392,             0.04212,            0.028845,           0.0024771,            0.009703,            0.009703,            0.009703
                   5,            0.049116,            0.048638,             0.00372,             0.83796,             0.71803,             0.80544,             0.49291,            0.040618,            0.028059,           0.0022668,            0.009604,            0.009604,            0.009604
                   6,            0.047886,             0.04787,           0.0035753,             0.84857,             0.72909,              0.8174,             0.51107,            0.039509,            0.027448,           0.0021516,            0.009505,            0.009505,            0.009505
                   7,            0.047069,            0.047453,           0.0034692,             0.84677,             0.73935,             0.82492,              0.5195,            0.038763,             0.02701,           0.0021078,            0.009406,            0.009406,            0.009406
                   8,            0.046291,            0.046739,            0.003365,             0.85731,             0.74346,             0.83092,             0.52809,            0.038039,             0.02671,           0.0020192,            0.009307,            0.009307,            0.009307
                   9,            0.045659,            0.046218,           0.0032596,             0.86019,             0.74858,             0.83633,             0.53527,            0.037558,            0.026421,           0.0019943,            0.009208,            0.009208,            0.009208
