               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093289,            0.034088,            0.018928,             0.29031,             0.26069,             0.19929,             0.06973,             0.07504,            0.039503,           0.0087011,            0.070023,           0.0033308,           0.0033308
                   1,            0.066861,            0.028715,           0.0060872,             0.66928,             0.48608,             0.53839,             0.24958,            0.060973,             0.03758,           0.0048214,            0.039957,           0.0065981,           0.0065981
                   2,            0.057166,            0.026695,           0.0042245,             0.75789,             0.59888,              0.6689,             0.34772,            0.051764,            0.033826,            0.003653,            0.009825,           0.0097995,           0.0097995
                   3,            0.051846,            0.025332,           0.0034641,              0.8049,             0.65739,             0.73553,             0.41793,            0.046613,            0.031609,           0.0030235,            0.009703,            0.009703,            0.009703
                   4,             0.04864,            0.024257,            0.002997,             0.81905,             0.68387,             0.76616,             0.45382,            0.043791,            0.030311,            0.002657,            0.009703,            0.009703,            0.009703
                   5,            0.046759,            0.023709,           0.0027689,              0.8398,             0.70216,             0.78677,             0.47554,            0.042337,             0.02936,           0.0024309,            0.009604,            0.009604,            0.009604
                   6,            0.045492,            0.023171,           0.0025894,             0.84155,              0.7136,             0.79935,             0.49444,            0.040915,            0.028663,           0.0023202,            0.009505,            0.009505,            0.009505
                   7,            0.044512,             0.02281,           0.0025098,             0.84555,             0.72547,             0.81023,             0.50832,            0.039836,            0.028047,           0.0022107,            0.009406,            0.009406,            0.009406
                   8,            0.043778,            0.022539,           0.0024236,             0.84598,             0.73392,             0.81641,             0.51737,            0.039153,            0.027707,           0.0021481,            0.009307,            0.009307,            0.009307
                   9,            0.043234,            0.022314,           0.0023492,              0.8505,             0.73854,             0.82319,             0.52414,            0.038566,            0.027312,           0.0020839,            0.009208,            0.009208,            0.009208
                  10,            0.042695,            0.022097,           0.0023137,             0.85678,             0.74119,             0.82718,             0.53064,            0.038148,            0.027085,           0.0020626,            0.009109,            0.009109,            0.009109
                  11,            0.042359,            0.021973,           0.0022741,             0.86269,              0.7431,             0.83017,             0.53529,            0.037819,            0.026913,           0.0020278,             0.00901,             0.00901,             0.00901
                  12,            0.041928,            0.021836,           0.0022296,             0.86689,              0.7435,             0.83329,             0.53887,            0.037558,            0.026755,           0.0020019,            0.008911,            0.008911,            0.008911
                  13,            0.041654,            0.021676,           0.0021995,             0.86786,              0.7455,             0.83489,             0.54142,            0.037354,            0.026636,           0.0019832,            0.008812,            0.008812,            0.008812
                  14,            0.041313,            0.021573,           0.0021827,             0.87021,             0.74661,             0.83666,             0.54293,            0.037193,            0.026551,           0.0019702,            0.008713,            0.008713,            0.008713
